ID;ITEMCODE;ITEMNAME;UNITPRICE;CATEGORY1;CATEGORY2;CATEGORY3;CATEGORY4;BRAND
135;333;MARUL GOBEK;6,42;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
136;339;TURP BEYAZ;0,87;YESILLIK;MANAV;MANAV;YESILLIKLER;TURP
137;342;ARMUT LIMON;1,44;MEYVE;MANAV;MANAV;MEYVELER;ARMUT
138;343;MANDALINA ARMUDI YATAK;0,96;MEYVE;MANAV;MANAV;MEYVELER;MANDALINA
139;348;BAY.SEK.SOLEN BUTIK PORT.DOL.TOF.;22,2;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;YUMUSAK SEKER;SOLEN
140;349;BAY.SEK.KENT GRAND BT.FINDIKLI 3 KG;36,52;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;KENT
141;350;BAY.SEK.ULKER BONBON SUT. T.YAG ;23,88;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;ULKER
142;351;BAY.SEK.KENT BON.FUL MILK *1* ;23,94;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;KENT
143;352;BEBETO YUMUSAK SEKERLEME;13,35;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER;YUMUSAK SEKER;BEBETO
144;368;GOLBASI ELMA YAZ;0;MEYVE;MANAV;MANAV;MEYVELER;ELMA
145;370;BAY.SEK.SOLEN BUTIK BON.KARISIK KG.;22,68;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;YUMUSAK SEKER;SOLEN
146;378;OYUNCAK 23X15 KOLLUK;0,69;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
147;380;PIL KODAK XTRA HEAVY 9 V BLISTER;7,02;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;KODAK
148;381;PIL KODAK SARJLI PIL AA*2;17,72;EV;ELEKTRIK-ELEKTRONIK;PIL;SARJLI PIL;KODAK
149;384;BD030 BADMINTON;11,67;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
150;385;45 MM X 40 MM BANT;2,29;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
151;386;OFICA METAL KALEMTRAS YED.;2,4;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
152;387;OFICA NOT KAGIDI KUTULU SARI;8,79;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
153;388;LETS CELIK MATARA  350 ML.;4,99;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
154;391;KOZA 998 BAYAN BADI -M;7,6;EV;TEKSTIL-GIYIM-AKSESUAR;CAMASIRLAR;BAYAN CAMASIR;KOZA
155;392;MARUL;3,04;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
156;395;ELB.MARUL;0,43;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
157;402;PRT.OYUNCAK PELUS CIVCIV KARMA;7,08;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
158;403;OYUNCAK DENIZ KIZI BEBEK  ;20,95;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
159;405;MOR  KIVIRCIK;4,55;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
160;410;GOLBASI MAROL AKDENIZ;1,44;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
161;411;BIBER ARNAVUT;5,06;SEBZE;MANAV;MANAV;SEBZELER;BIBER
162;415;ARMUT YERLI;4,98;MEYVE;MANAV;MANAV;MEYVELER;ARMUT
163;416;ERIK ITALYAN;3,02;MEYVE;MANAV;MANAV;MEYVELER;ERIK
164;426;PIL KODAK XTRA HEAVY AA*4 KALEM;7,08;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;KODAK
165;427;PIL KODAK AAA*4 ULTRA ALKALIN INCE;20,28;EV;ELEKTRIK-ELEKTRONIK;PIL;INCE PILLER;KODAK
166;433;OFICA FH3750 HESAP MAKINASI ;19,31;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
167;434;LET S 12 RENK PASTEL BOYA;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
168;435;TUKENMEZ KALEM HALKALI;1,2;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
169;436;KOZA 203 BAYAN ATLET M;4,14;EV;TEKSTIL-GIYIM-AKSESUAR;CAMASIRLAR;BAYAN CAMASIR;KOZA
170;438;PATATES KISLIK TORBA;12,33;SEBZE;MANAV;MANAV;SEBZELER;PATATES
171;440;BIBER DOLMA ;3,17;SEBZE;MANAV;MANAV;SEBZELER;BIBER
172;441;BIBER DOLMA YERLI;2,7;SEBZE;MANAV;MANAV;SEBZELER;BIBER
173;442;BIBER SIVRI;9,54;SEBZE;MANAV;MANAV;SEBZELER;BIBER
174;443;PATATES KISLIK;0,73;SEBZE;MANAV;MANAV;SEBZELER;PATATES
175;444;ELMA  ARJANTIN;7,14;MEYVE;MANAV;MANAV;MEYVELER;ELMA
176;445;ELMA GOLDEN-STAR YERLI;4,14;MEYVE;MANAV;MANAV;MEYVELER;ELMA
177;446;UZUM SIYAH;5,13;MEYVE;MANAV;MANAV;MEYVELER;UZUM
178;451;CARPEX TYPES KLIMA KOKU OCEAN ;10,26;TEMIZLIK;KOKULAR;ODA KOKULARI;KLIMA KOKULAR;CARPEX
179;452;PIL KODAK AAA*4 XTRALIFE ALKALIN INCE;13,19;EV;ELEKTRIK-ELEKTRONIK;PIL;INCE PILLER;KODAK
180;453;KOZA COCUK PENYE BAXER;5,52;BEBEK;GIYIM;BEBE GIYIM;PENYE;KOZA
181;456;SUNUM DOSYASI 60 LI;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
182;459;OYUNCAK RAKET SET  ;25,26;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
183;460;SALATALIK YERLI;1,44;SEBZE;MANAV;MANAV;SEBZELER;SALATALIK
184;461;SALATALIK TURSULUK;5,59;SEBZE;MANAV;MANAV;SEBZELER;SALATALIK
185;462;PATLICAN MOR;1,03;SEBZE;MANAV;MANAV;SEBZELER;PATLICAN
186;463;PORTAKAL YATAK;1,31;MEYVE;MANAV;MANAV;MEYVELER;PORTAKAL
187;464;PORTAKAL TOMSON SIKMALIK;3,36;MEYVE;MANAV;MANAV;MEYVELER;PORTAKAL
188;465;UZUM ITHAL;1,44;MEYVE;MANAV;MANAV;MEYVELER;UZUM
189;467;ERIK SARI;3,89;MEYVE;MANAV;MANAV;MEYVELER;ERIK
190;468;KAYISI CAGALA ;1,44;MEYVE;MANAV;MANAV;MEYVELER;KAYISI
191;469;KAYISI ;8,1;MEYVE;MANAV;MANAV;MEYVELER;KAYISI
192;474;KARLIDAG PEYNIRI DIL KG;52,68;KAHVALTILIK;SUT-YOGURT-PEYNIR;PEYNIRLER;DIL PEYNIRLERI;KARLIDAG
193;476;DOKME H.CEVIZI 10 KG. ;25,2;GIDA;TUZ-BAHARAT;BAHARAT;HINDISTAN CEVIZI;NERGIS
194;477;DOKME KEKIK 10 KG. ;32,5;GIDA;TUZ-BAHARAT;BAHARAT;KEKIK;NERGIS
195;478;DOKME PASTA SUSU 10 KG. ;13,04;GIDA;UNLU MAMUL-TATLI;PASTA MALZEMELERI;PASTA SUSU;NERGIS
196;480;BAY.SEK.KENT TOFFE DAMLA KG;20,96;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;YUMUSAK SEKER;KENT
197;481;BAY.SEK.KENT ELEGAN PORT.*1*;24,94;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;YUMUSAK SEKER;KENT
198;484;BAY.SEK.SOLEN VITAL FINDIK KG ;59,88;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;SOLEN
199;485;NERGIS YUFKA KG;4,75;KAHVALTILIK;UNLU MAMULLER;YUFKA;BOREKLIK;NERGIS
200;496;MERSIN BIBER CARLI;3,06;SEBZE;MANAV;MANAV;SEBZELER;BIBER
201;497;BIBER YESIL ACI;10,74;SEBZE;MANAV;MANAV;SEBZELER;BIBER
202;498;NEF.31.KAJU FISTIGI 1 KG;81,22;GIDA;BISKUVI-CEREZ;KURUYEMIS;DIGER KURUYEMIS;NEFISO
203;503;EKICI  TAM YAGLI PEYNIR 10 KG;18;KAHVALTILIK;SUT-YOGURT-PEYNIR;PEYNIRLER;BEYAZ PEYNIRLER;EKICI
